cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
47,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12589,11100,25261
47,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12589,11100,5857
48,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,636,800,5275
48,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,571,11100,14778
48,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,606,2100,4409
49,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,620,600,5311
49,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,545,9400,5940
49,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,591,600,4452
50,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,594,600,5341
50,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,608,600,6110
50,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,591,600,4486
51,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,614,600,5385
51,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,590,600,6270
51,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,596,600,4516
52,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,647,600,5476
52,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,591,600,6421
52,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,596,600,4542
53,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,573,600,5540
53,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12644,11100,8116
53,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,625,600,4593
54,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,595,600,5599
54,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12581,11100,9792
54,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,582,600,4626
55,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,587,600,5645
55,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,582,3600,6950
55,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,600,4672
56,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12566,11100,7157
56,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,601,600,7109
56,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12612,11100,6230
57,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,624,2100,5693
57,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,596,600,7264
57,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,42612,11100,37800
58,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,581,600,5710
58,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7434
58,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,578,11100,27348
59,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30585,11100,25212
59,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7619
59,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12597,11100,28893
60,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30556,10900,44870
60,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,636,800,7640
60,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,564,11100,18402
61,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,534,11100,34462
61,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,607,600,7668
61,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,11100,7926
62,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,598,11100,24052
62,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,655,600,7751
62,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12620,11100,9470
63,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,589,11100,13631
63,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,615,600,7849
63,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,644,5100,5058
64,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,605,8100,6215
64,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,589,600,7936
64,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,534,600,5080
65,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30596,11100,25795
65,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,620,600,8043
65,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,601,600,5103
66,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,586,11100,15361
66,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,663,600,8213
66,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,632,600,5158
67,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12602,11100,16929
67,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,572,600,8355
67,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30616,11100,24729
68,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,576,11100,6473
68,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,612,600,8509
68,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,559,11100,14259
69,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,580,600,6497
69,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,590,600,8653
69,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12630,11100,15819
70,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12645,11100,8066
70,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,594,600,8791
70,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12616,11100,17395
71,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12583,11100,9618
71,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,600,8916
71,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,624,11100,6995
72,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,591,3600,6661
72,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,583,600,9024
72,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,635,2100,5630
73,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,602,600,6706
73,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12592,11100,10624
73,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,597,600,5762
74,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30574,11100,26225
74,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30586,11100,30210
74,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,643,600,5937
75,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12573,10900,27917
75,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,595,11100,19791
75,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,568,600,6080
76,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,11100,17609
76,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,551,11100,9323
76,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12609,11100,7732
77,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,651,11300,7152
77,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12601,11100,10856
77,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,2100,6397
78,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,607,600,7202
78,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,618,2100,9407
78,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,604,600,6566
79,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,632,600,7284
79,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,588,600,9446
79,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12609,11100,8244
80,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12629,11100,8895
80,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,592,600,9477
80,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,577,2100,6899
81,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,600,2100,7506
81,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30654,11100,29062
81,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,653,800,6907
82,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,641,600,7658
82,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,604,11100,18651
82,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,597,600,6912
83,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,619,600,7829
83,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30591,11100,38231
83,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,598,600,6915
84,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,8003
84,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,609,11100,27820
84,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,600,6939
85,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,599,600,8176
85,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,588,11100,17397
85,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,606,600,6969
86,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,560,600,8309
86,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30646,11100,37020
86,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,572,600,6971
87,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12586,11100,9928
87,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,621,11100,26664
87,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,561,400,7134
88,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30610,11100,29557
88,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12596,11100,28304
88,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,30568,11100,26765
89,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,571,11100,19157
89,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,597,11100,17941
89,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,549,11100,16345
90,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12612,11100,20769
90,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30561,11100,37539
90,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12575,11100,17900
91,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,611,11100,10392
91,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,573,11100,27110
91,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12640,11100,19495
92,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,597,2100,9012
92,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,613,11100,16694
92,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,584,11100,9074
93,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,578,600,9110
93,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,612,6600,10790
93,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,626,2100,7679
94,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12603,11100,10711
94,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,608,600,10894
94,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,611,600,7795
95,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,582,2100,9294
95,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30583,11100,30481
95,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,620,600,7931
96,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,581,600,9358
96,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,11100,20055
96,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,594,600,8061
97,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12602,11100,10924
97,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12638,11100,21667
97,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,600,8191
98,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12625,11100,12515
98,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,11100,11279
98,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12638,11100,9859
99,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,595,3600,9601
99,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,581,600,11372
99,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,605,2100,8532
100,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,589,600,9676
100,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12560,11100,12925
100,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,12627,11300,10032
101,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,614,600,9765
101,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,628,2100,11506
101,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,611,2100,8543
102,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,12600,11100,11354
102,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,610,600,11597
102,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,642,600,8596
103,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,612,2100,9955
103,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,626,600,11714
103,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,618,600,8667
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,30600,11100,29556
104,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42597,11100,43328
104,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,617,600,8755
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,42591,11100,61148
