cycle,algorithm,onu_id,grant_bytes,start_ns,end_ns
70,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,1704917,1715997
71,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1715997,1717477
71,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1721873,1723353
71,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,1730485,1741565
72,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1741565,1743045
72,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1747549,1749029
72,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1756248,1757728
73,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1757728,1759208
73,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1763817,1774897
73,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1782196,1783676
74,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1783676,1785156
74,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,1789905,1815385
74,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30600,1822753,1848233
75,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1848233,1849713
75,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1854577,1856057
75,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12400,1863489,1874409
76,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1874409,1885489
76,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1890474,1891954
76,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1899412,1900892
77,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1900892,1902372
77,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12600,1907489,1918569
77,gated,65298be0-01e9-4bf4-9842-ae24b342999c,800,1926053,1927693
78,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1927693,1929173
78,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1934425,1935905
78,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1943430,1944910
79,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12600,1944910,1955990
79,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1961385,1962865
79,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,1970421,1971901
80,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,1971901,1973381
80,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,1978900,1980380
80,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12600,1987961,1999041
81,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,800,1999041,2000681
81,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2006206,2031686
81,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2039335,2040815
82,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2040815,2042295
82,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2047824,2049304
82,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2057024,2058504
83,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2058504,2059984
83,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30600,2065516,2090996
83,gated,65298be0-01e9-4bf4-9842-ae24b342999c,600,2098780,2100260
84,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,600,2100260,2101740
84,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,600,2107291,2108771
