cycle,algorithm,onu_id,offered_bytes,served_bytes,backlog_bytes
26,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,578,600,2279
27,gated,65298be0-01e9-4bf4-9842-ae24b342999c,42583,42600,2441
27,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,42629,42600,3150
27,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,600,2344
28,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30620,30600,2589
28,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,652,600,3326
28,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12646,12600,2455
29,gated,65298be0-01e9-4bf4-9842-ae24b342999c,577,600,2714
29,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,591,600,3493
29,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,600,2581
30,gated,65298be0-01e9-4bf4-9842-ae24b342999c,581,600,2820
30,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,587,600,3647
30,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,600,2717
31,gated,65298be0-01e9-4bf4-9842-ae24b342999c,576,600,2902
31,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,597,600,3798
31,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,600,2874
32,gated,65298be0-01e9-4bf4-9842-ae24b342999c,640,600,3024
32,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12625,12600,3974
32,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,584,600,3015
33,gated,65298be0-01e9-4bf4-9842-ae24b342999c,632,600,3178
33,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12591,12600,4141
33,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12585,12600,3141
34,gated,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,3335
34,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,603,600,4311
34,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,615,600,3282
35,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30583,30600,3475
35,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30590,30600,4471
35,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,594,600,3417
36,gated,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,3618
36,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30604,30600,4635
36,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,610,600,3562
37,gated,65298be0-01e9-4bf4-9842-ae24b342999c,618,600,3779
37,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,572,600,4771
37,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,30648,30600,3755
38,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30594,30600,3934
38,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30602,30600,4909
38,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,621,800,3769
39,gated,65298be0-01e9-4bf4-9842-ae24b342999c,622,600,4111
39,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,30587,30600,5034
39,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,575,400,3958
40,gated,65298be0-01e9-4bf4-9842-ae24b342999c,617,600,4305
40,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,594,600,5153
40,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,653,800,4000
41,gated,65298be0-01e9-4bf4-9842-ae24b342999c,603,600,4502
41,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12597,12600,5269
41,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,583,600,4025
42,gated,65298be0-01e9-4bf4-9842-ae24b342999c,601,600,4700
42,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,609,600,5394
42,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,42595,42600,4045
43,gated,65298be0-01e9-4bf4-9842-ae24b342999c,605,800,4703
43,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,568,600,5487
43,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,659,600,4124
44,gated,65298be0-01e9-4bf4-9842-ae24b342999c,30585,30400,4891
44,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,604,600,5584
44,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,605,600,4208
45,gated,65298be0-01e9-4bf4-9842-ae24b342999c,590,600,5069
45,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12577,12600,5658
45,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,562,600,4254
46,gated,65298be0-01e9-4bf4-9842-ae24b342999c,632,800,5079
46,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,583,600,5715
46,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,611,600,4311
47,gated,65298be0-01e9-4bf4-9842-ae24b342999c,570,400,5259
47,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12589,12600,5761
47,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,12589,12600,4357
48,gated,65298be0-01e9-4bf4-9842-ae24b342999c,636,800,5275
48,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,571,600,5778
48,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,606,600,4409
49,gated,65298be0-01e9-4bf4-9842-ae24b342999c,620,600,5311
49,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,545,400,5940
49,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,591,600,4452
50,gated,65298be0-01e9-4bf4-9842-ae24b342999c,594,600,5341
50,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,608,600,6110
50,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,591,600,4486
51,gated,65298be0-01e9-4bf4-9842-ae24b342999c,614,600,5385
51,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,590,600,6270
51,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,596,600,4516
52,gated,65298be0-01e9-4bf4-9842-ae24b342999c,647,600,5476
52,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,591,600,6421
52,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,596,600,4542
53,gated,65298be0-01e9-4bf4-9842-ae24b342999c,573,600,5540
53,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12644,12600,6616
53,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,625,600,4593
54,gated,65298be0-01e9-4bf4-9842-ae24b342999c,595,600,5599
54,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,12581,12600,6792
54,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,582,600,4626
55,gated,65298be0-01e9-4bf4-9842-ae24b342999c,587,600,5645
55,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,582,600,6950
55,gated,3614600b-9bf7-44db-9e41-2b43bc47c25a,613,600,4672
56,gated,65298be0-01e9-4bf4-9842-ae24b342999c,12566,12600,5657
56,gated,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,601,600,7109
