cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
107,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1782360,1788480,1788640,6120
107,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1788640,1789840,439960
107,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1789840,1791040,441160
107,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1791040,1792240,442360
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1782360,1793960,1794120,11600
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1782360,1794120,1794280,11760
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1782360,1794280,1794440,11920
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1749000,1794440,1795640,45440
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1749000,1795640,1796840,46640
107,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1796840,1798040,814960
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1799040,1799040,1799200,0
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1799040,1799200,1799360,160
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1799040,1799360,1799520,320
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1799520,1800720,334080
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1800720,1801920,335280
108,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1801920,1803120,336480
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1799040,1804840,1805000,5800
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1799040,1805000,1805160,5960
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1799040,1805160,1805320,6120
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1805320,1806520,456640
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1806520,1807720,457840
108,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1807720,1808920,459040
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1799040,1810640,1810800,11600
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1799040,1810800,1810960,11760
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1799040,1810960,1811120,11920
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1811120,1812320,829240
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1812320,1813520,830440
108,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1813520,1814720,831640
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1815720,1815720,1815880,0
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1815720,1815880,1816040,160
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1815720,1816040,1816200,320
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1816200,1817400,350760
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1817400,1818600,351960
109,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1818600,1819800,353160
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1815720,1821520,1821680,5800
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1815720,1821680,1821840,5960
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1815720,1821840,1822000,6120
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1822000,1823200,6280
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1823200,1824400,7480
109,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1824400,1825600,8680
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1815720,1827320,1827480,11600
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1815720,1827480,1827640,11760
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1815720,1827640,1827800,11920
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1827800,1829000,12080
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1829000,1830200,13280
109,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1830200,1831400,14480
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1832400,1832400,1832560,0
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1832400,1832560,1832720,160
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1832400,1832720,1832880,320
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1832880,1834080,367440
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1834080,1835280,368640
110,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1835280,1836480,369840
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1832400,1838200,1838360,5800
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1832400,1838360,1838520,5960
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1832400,1838520,1838680,6120
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1838680,1839880,22960
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1839880,1841080,24160
110,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1841080,1842280,25360
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1832400,1844000,1844160,11600
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1832400,1844160,1844320,11760
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1832400,1844320,1844480,11920
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1844480,1845680,28760
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1845680,1846880,29960
110,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1846880,1848080,31160
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1849080,1849080,1849240,0
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1849080,1849240,1849400,160
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1849080,1849400,1849560,320
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1849560,1850760,384120
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1850760,1851960,385320
111,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1851960,1853160,386520
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1849080,1854880,1855040,5800
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1849080,1855040,1855200,5960
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1849080,1855200,1855360,6120
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1855360,1856560,39640
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1815720,1856560,1857760,40840
111,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1857760,1858960,509080
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1849080,1860680,1860840,11600
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1849080,1860840,1861000,11760
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1849080,1861000,1861160,11920
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1861160,1862360,45440
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,1815720,1862360,1863560,46640
111,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1863560,1864760,881680
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1865760,1865760,1865920,0
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1865760,1865920,1866080,160
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1865760,1866080,1866240,320
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1866240,1867440,400800
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1867440,1868640,402000
112,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1868640,1869840,403200
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1865760,1871560,1871720,5800
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1865760,1871720,1871880,5960
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1865760,1871880,1872040,6120
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1872040,1873240,6280
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1873240,1874440,7480
112,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1874440,1875640,8680
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1865760,1877360,1877520,11600
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1865760,1877520,1877680,11760
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1865760,1877680,1877840,11920
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1877840,1879040,895960
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,981880,1879040,1880240,897160
112,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1880240,1881440,881680
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1882440,1882440,1882600,0
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1882440,1882600,1882760,160
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1882440,1882760,1882920,320
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1882920,1884120,417480
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1884120,1885320,418680
113,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1885320,1886520,419880
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1882440,1888240,1888400,5800
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1882440,1888400,1888560,5960
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1882440,1888560,1888720,6120
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1888720,1889920,22960
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1889920,1891120,24160
113,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1891120,1892320,25360
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1882440,1894040,1894200,11600
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1882440,1894200,1894360,11760
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1882440,1894360,1894520,11920
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1894520,1895720,895960
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1895720,1896920,897160
113,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1896920,1898120,898360
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1899120,1899120,1899280,0
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1899120,1899280,1899440,160
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1899120,1899440,1899600,320
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1899600,1900800,434160
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1465440,1900800,1902000,435360
114,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1799040,1902000,1903200,102960
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1899120,1904920,1905080,5800
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1899120,1905080,1905240,5960
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1899120,1905240,1905400,6120
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1905400,1906600,39640
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,1865760,1906600,1907800,40840
114,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,1348680,1907800,1909000,559120
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1899120,1910720,1910880,11600
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1899120,1910880,1911040,11760
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,1899120,1911040,1911200,11920
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1911200,1912400,912640
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1912400,1913600,913840
114,limited,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,998560,1913600,1914800,915040
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1915800,1915800,1915960,0
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1915800,1915960,1916120,160
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,1915800,1916120,1916280,320
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1799040,1916280,1917480,117240
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1799040,1917480,1918680,118440
115,limited,3614600b-9bf7-44db-9e41-2b43bc47c25a,BE,1500,1799040,1918680,1919880,119640
115,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1915800,1921600,1921760,5800
115,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1915800,1921760,1921920,5960
115,limited,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,1915800,1921920,1922080,6120
