cycle,algorithm,onu_id,cls,size_bytes,arrival_ns,start_ns,end_ns,queue_delay_ns
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2380230,2399314,2399474,19084
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2380230,2399474,2399634,19244
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2380230,2399634,2399794,19404
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2399794,2400994,19564
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2400994,2402194,20764
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2402194,2403394,21964
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2403394,2404594,23164
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2404594,2405794,24364
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2405794,2406994,25564
104,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2406994,2408194,26764
105,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2409194,2409194,2409354,0
105,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2409194,2409354,2409514,160
105,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2409194,2409514,2409674,320
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2409194,2417707,2417867,8513
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2409194,2417867,2418027,8673
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2409194,2418027,2418187,8833
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,AF,1500,2380230,2418187,2419387,37957
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2419387,2420587,39157
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2420587,2421787,40357
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2421787,2422987,41557
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2422987,2424187,42757
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2424187,2425387,43957
105,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2425387,2426587,45157
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2409194,2428307,2428467,19113
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2409194,2428467,2428627,19273
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2409194,2428627,2428787,19433
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2428787,2429987,19593
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2429987,2431187,20793
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2431187,2432387,21993
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2432387,2433587,23193
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2433587,2434787,24393
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2434787,2435987,25593
105,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2435987,2437187,26793
106,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2438187,2438187,2438347,0
106,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2438187,2438347,2438507,160
106,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2438187,2438507,2438667,320
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2438187,2446743,2446903,8556
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2438187,2446903,2447063,8716
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,EF,200,2438187,2447063,2447223,8876
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2447223,2448423,66993
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2448423,2449623,68193
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2449623,2450823,69393
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2450823,2452023,70593
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2452023,2453223,71793
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2453223,2454423,72993
106,ipact,3e986a43-1a3d-4ab7-b7ec-6a30f7d0f62d,BE,1500,2380230,2454423,2455623,74193
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2438187,2457343,2457503,19156
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2438187,2457503,2457663,19316
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,EF,200,2438187,2457663,2457823,19476
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,AF,1500,2409194,2457823,2459023,48629
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2459023,2460223,78793
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2460223,2461423,79993
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2461423,2462623,81193
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2462623,2463823,82393
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2463823,2465023,83593
106,ipact,65298be0-01e9-4bf4-9842-ae24b342999c,BE,1500,2380230,2465023,2466223,84793
107,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2467223,2467223,2467383,0
107,ipact,3614600b-9bf7-44db-9e41-2b43bc47c25a,EF,200,2467223,2467383,2467543,160
